0.1199,0.2773,0.4849,0.7344,1.0247,1.3567,1.7452,2.1346,2.5635,3.0492,3.5348,4.1012,4.685,5.27,5.884,6.4337,7.0383,7.839,8.4826,9.0396,9.7055,10.6151,11.2078,12.1436,12.7353,13.6647,14.2035,15.3056,16.1456,17.0523
0.1207,0.2825,0.4874,0.7426,1.023,1.3667,1.7519,2.1639,2.7217,3.2758,3.8145,4.2573,4.8175,5.2931,5.968,6.5792,7.3357,7.899,8.5235,9.2784,10.0193,10.6963,11.3591,12.4584,12.8749,13.7681,14.4507,15.6117,16.2636,17.2981
0.1225,0.282,0.4868,0.7391,1.0334,1.3854,1.7496,2.1732,2.6088,3.0754,3.6631,4.1527,4.6782,5.3073,5.9656,6.4973,7.2585,7.9304,8.4151,9.2738,9.9329,10.6344,11.46,12.2135,13.0381,13.9642,14.7069,15.6696,16.5034,17.4598
0.1262,0.2871,0.5032,0.7505,1.0435,1.3933,1.7596,2.1831,2.6549,3.1032,3.6513,4.2427,4.7441,5.4167,5.8992,6.6528,7.2527,7.7602,8.6888,9.4364,10.2355,10.7138,11.5121,12.5158,12.9563,14.137,14.6815,15.8886,16.2974,17.4671
0.1297,0.3038,0.5262,0.8249,1.1368,1.4985,1.8597,2.2952,2.774,3.3147,3.834,4.4205,5.0528,5.5983,6.2848,6.8546,7.6065,8.3029,8.9049,9.6229,10.4408,11.1899,12.3493,12.9873,13.8985,14.5361,15.5813,16.2395,17.2894,17.978
0.1313,0.3085,0.5197,0.7878,1.1264,1.4674,1.8656,2.307,2.8055,3.2926,3.8634,4.4447,5.0103,5.6183,6.4678,7.0584,7.6116,8.4484,9.0957,9.838,10.6349,11.3149,12.0067,13.0642,13.9416,14.7973,15.4528,16.7923,17.1308,18.2986
0.1466,0.3473,0.6068,0.929,1.2996,1.6239,2.0517,2.5287,2.9635,3.491,4.0382,4.5966,5.1001,5.7723,6.4454,7.0078,7.7993,8.4395,9.1996,10.0958,10.7576,11.5552,12.1436,13.1886,14.1404,14.8247,15.7287,16.4534,17.6857,18.5138
0.138,0.3205,0.553,0.8455,1.1819,1.545,1.9879,2.4652,2.9704,3.5145,4.0787,4.7078,5.3265,5.8323,6.7086,7.3994,8.2093,8.9648,10.034,11.0933,11.9097,12.7793,13.8036,14.8703,16.0617,16.8749,17.7776,18.2735,19.877,20.8213
0.1348,0.3151,0.5329,0.8367,1.1526,1.5489,1.9361,2.423,2.9561,3.4792,3.9692,4.6221,5.2393,5.9138,6.5473,7.2516,7.9738,8.7329,9.2527,10.095,10.8507,11.845,12.4867,13.4808,14.1512,15.0234,16.0264,16.7141,18.0057,18.7571
0.1358,0.3206,0.5477,0.8212,1.1656,1.5421,1.9799,2.3911,2.9013,3.4129,3.9737,4.5399,5.1731,5.8055,6.4331,7.2139,8.0184,8.5078,9.1591,10.1644,10.7461,11.7453,12.3289,13.2331,14.2005,15.0267,16.2265,16.9735,17.9467,18.8314
0.1404,0.3201,0.5577,0.8357,1.1555,1.5587,1.9412,2.4151,2.9565,3.4742,4.0821,4.6398,5.1784,5.9032,6.5308,7.1039,8.0642,8.7043,9.6319,10.125,10.8175,11.9023,12.5578,13.6834,14.3221,14.9524,16.1294,17.2636,17.9921,19.0628
0.144,0.3251,0.5597,0.8375,1.1779,1.5572,1.9852,2.4367,2.9482,3.5319,4.1078,4.7416,5.3413,5.8993,6.6069,7.2557,7.9745,8.5908,9.4437,10.0833,11.0964,11.8044,12.5983,13.5144,14.4181,15.7519,16.423,17.1233,17.9075,19.1974
0.1377,0.3183,0.5556,0.8522,1.1813,1.558,2.0137,2.454,2.9373,3.5367,4.1167,4.7355,5.3227,6.0087,6.7128,7.3457,8.0029,8.7699,9.613,10.5123,10.9304,11.7647,12.5948,13.8922,14.599,15.5719,16.292,17.0585,18.3347,19.2913
0.1409,0.3331,0.5602,0.8687,1.2002,1.5958,2.0375,2.4847,2.9835,3.5434,4.1372,4.808,5.3169,5.9686,6.7536,7.3946,8.1871,8.9502,9.7026,10.506,11.3229,12.233,12.9641,13.8954,14.648,15.7225,16.5977,17.4451,18.8481,19.8138
0.1422,0.3315,0.5733,0.8542,1.2031,1.5944,2.0366,2.582,3.0494,3.63,4.159,4.7926,5.4565,6.2065,6.7269,7.5905,8.1712,8.9529,9.9041,10.6908,11.3924,12.2592,13.2148,13.7606,15.2508,15.7165,16.8904,17.8497,18.8628,20.1681
0.1438,0.3391,0.5815,0.8666,1.219,1.5923,2.0152,2.5409,3.1141,3.615,4.2521,4.7048,5.5363,6.3169,6.8841,7.4144,8.1111,9.1887,9.8679,10.6852,11.425,12.3751,13.1111,14.1944,15.3949,16.0526,17.3408,17.8338,19.0247,19.8945
0.1429,0.3412,0.5876,0.8837,1.2192,1.6356,2.0688,2.5247,3.0725,3.6181,4.2117,4.9325,5.4885,6.2338,6.9389,7.6695,8.4894,9.1171,9.7577,10.6031,11.5893,12.7908,13.1983,13.888,15.3242,16.1096,16.9763,17.964,18.7216,20.0792
0.1412,0.3399,0.5845,0.8857,1.2505,1.6592,2.123,2.6614,3.1975,3.6976,4.2984,4.9509,5.5517,6.2502,6.9629,7.6436,8.5764,9.2219,10.1732,10.8484,11.7066,12.9846,13.6289,14.2601,15.4087,16.029,17.1407,18.3053,19.2562,20.5296
0.1492,0.3512,0.5815,0.8767,1.2479,1.666,2.1308,2.6013,3.0511,3.6792,4.2664,5.0635,5.5294,6.3267,6.8835,7.6584,8.4847,9.1905,9.9574,11.0491,11.5589,12.4769,13.4534,14.0898,14.9775,16.2539,17.1066,18.039,19.013,20.2121
0.1504,0.3443,0.5924,0.914,1.2853,1.7045,2.1305,2.6432,3.1944,3.7751,4.4488,5.0387,5.695,6.3791,7.1794,7.8389,8.6746,9.3915,10.244,10.9579,11.6033,12.5378,13.4026,14.2966,15.31,16.2007,17.19,18.3515,19.1894,19.9774
0.1513,0.3417,0.6061,0.8999,1.258,1.6742,2.1324,2.6457,3.1794,3.7822,4.3704,5.1317,5.6579,6.4547,7.1555,7.7883,8.5248,9.4279,10.2166,10.8773,11.7616,12.532,13.8255,14.3441,15.6792,16.0997,17.2865,18.2638,19.3284,20.3569
0.1571,0.3719,0.6509,0.9635,1.3407,1.7818,2.2531,2.7484,3.284,3.9614,4.5149,5.1776,5.888,6.4576,7.192,8.011,8.8078,9.5908,10.4307,10.9858,11.9885,12.8595,13.6681,14.6388,15.8123,16.8494,18.191,19.3067,20.7425,21.4107
0.1564,0.3556,0.6181,0.9686,1.306,1.732,2.1992,2.7106,3.2765,3.9464,4.4572,5.1222,5.7356,6.4074,7.2429,7.8389,8.639,9.471,10.2376,11.0332,11.7554,12.8416,13.7114,14.5893,15.6451,16.5776,17.6955,19.0878,19.4218,20.7143
0.1587,0.3648,0.6316,0.9632,1.3453,1.7775,2.2582,2.7616,3.3241,3.9972,4.6022,5.2475,5.9008,6.6047,7.3971,7.9804,8.9108,9.6074,10.557,11.1747,12.2419,13.0697,13.9633,14.8422,15.8549,16.5524,17.5365,18.5652,19.4117,20.624
0.154,0.3593,0.6179,0.936,1.3087,1.7665,2.2055,2.7577,3.2807,3.9424,4.5363,5.1262,5.8277,6.5721,7.2881,7.8678,8.7119,9.454,10.3884,11.1689,11.8844,12.8544,13.7893,14.6425,15.532,16.3784,17.6117,18.5685,19.2387,20.2716
0.1559,0.359,0.6206,0.941,1.3091,1.7768,2.2363,2.7146,3.304,3.9173,4.5487,5.2267,5.99,6.6256,7.2009,8.0248,8.7476,9.6975,10.3449,11.3481,11.9749,13.004,13.8244,14.8154,15.7975,16.5893,17.4663,18.3585,19.7908,20.7128
